"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Narození","4355","2007","2007","Královéhradecký kraj","CZ052","6138"
"Narození","4355","2007","2007","Pardubický kraj","CZ053","5723"
"Narození","4355","2007","2007","Kraj Vysočina","CZ063","5391"
"Narození","4355","2007","2007","Jihomoravský kraj","CZ064","12401"
"Narození","4355","2007","2007","Olomoucký kraj","CZ071","6950"
"Narození","4355","2007","2007","Zlínský kraj","CZ072","6076"
"Narození","4355","2007","2007","Moravskoslezský kraj","CZ080","13412"
"Narození","4355","2008","2008","Česko","CZ","119842"
"Narození","4355","2008","2008","Praha","CZ01","14362"
"Narození","4355","2008","2008","Střední Čechy","CZ02","15281"
"Narození","4355","2008","2008","Jihozápad","CZ03","13571"
"Narození","4355","2008","2008","Severozápad","CZ04","13623"
"Narození","4355","2008","2008","Severovýchod","CZ05","17275"
"Narození","4355","2008","2008","Jihovýchod","CZ06","18877"
"Narození","4355","2008","2008","Střední Morava","CZ07","13408"
"Narození","4355","2008","2008","Moravskoslezsko","CZ08","13445"
"Narození","4355","2008","2008","Hlavní město Praha","CZ010","14362"
"Narození","4355","2008","2008","Středočeský kraj","CZ020","15281"
"Narození","4355","2008","2008","Jihočeský kraj","CZ031","7173"
"Narození","4355","2008","2008","Plzeňský kraj","CZ032","6398"
"Narození","4355","2008","2008","Karlovarský kraj","CZ041","3572"
"Narození","4355","2008","2008","Ústecký kraj","CZ042","10051"
"Narození","4355","2008","2008","Liberecký kraj","CZ051","5240"
"Narození","4355","2008","2008","Královéhradecký kraj","CZ052","6268"
"Narození","4355","2008","2008","Pardubický kraj","CZ053","5767"
"Narození","4355","2008","2008","Kraj Vysočina","CZ063","5660"
"Narození","4355","2008","2008","Jihomoravský kraj","CZ064","13217"
"Narození","4355","2008","2008","Olomoucký kraj","CZ071","7134"
"Narození","4355","2008","2008","Zlínský kraj","CZ072","6274"
"Narození","4355","2008","2008","Moravskoslezský kraj","CZ080","13445"
"Narození","4355","2009","2009","Česko","CZ","118667"
"Narození","4355","2009","2009","Praha","CZ01","14514"
"Narození","4355","2009","2009","Střední Čechy","CZ02","15256"
"Narození","4355","2009","2009","Jihozápad","CZ03","13477"
"Narození","4355","2009","2009","Severozápad","CZ04","13098"
"Narození","4355","2009","2009","Severovýchod","CZ05","17163"
"Narození","4355","2009","2009","Jihovýchod","CZ06","18650"
"Narození","4355","2009","2009","Střední Morava","CZ07","13241"
"Narození","4355","2009","2009","Moravskoslezsko","CZ08","13268"
"Narození","4355","2009","2009","Hlavní město Praha","CZ010","14514"
"Narození","4355","2009","2009","Středočeský kraj","CZ020","15256"
"Narození","4355","2009","2009","Jihočeský kraj","CZ031","7048"
"Narození","4355","2009","2009","Plzeňský kraj","CZ032","6429"
"Narození","4355","2009","2009","Karlovarský kraj","CZ041","3434"
"Narození","4355","2009","2009","Ústecký kraj","CZ042","9664"
"Narození","4355","2009","2009","Liberecký kraj","CZ051","5221"
"Narození","4355","2009","2009","Královéhradecký kraj","CZ052","6284"
"Narození","4355","2009","2009","Pardubický kraj","CZ053","5658"
"Narození","4355","2009","2009","Kraj Vysočina","CZ063","5466"
"Narození","4355","2009","2009","Jihomoravský kraj","CZ064","13184"
"Narození","4355","2009","2009","Olomoucký kraj","CZ071","7150"
"Narození","4355","2009","2009","Zlínský kraj","CZ072","6091"
"Narození","4355","2009","2009","Moravskoslezský kraj","CZ080","13268"
"Narození","4355","2010","2010","Česko","CZ","117446"
"Narození","4355","2010","2010","Praha","CZ01","14824"
"Narození","4355","2010","2010","Střední Čechy","CZ02","15262"
"Narození","4355","2010","2010","Jihozápad","CZ03","13211"
