Ukazatel,IndicatorType,Roky,CasR,"ČR, Reg. soudržnosti, Kraje",Uz012,Hodnota,Uz01A
Narození,4355,2013,2013,Střední Čechy,CZ02,14262.0,CZ02
Narození,4355,2013,2013,Jihozápad,CZ03,11928.0,CZ03
Narození,4355,2013,2013,Severozápad,CZ04,10933.0,CZ04
Narození,4355,2013,2013,Severovýchod,CZ05,15118.0,CZ05
Narození,4355,2013,2013,Jihovýchod,CZ06,17369.0,CZ06
Narození,4355,2013,2013,Střední Morava,CZ07,11943.0,CZ07
Narození,4355,2013,2013,Moravskoslezsko,CZ08,11651.0,CZ08
Narození,4355,2013,2013,Hlavní město Praha,CZ010,13913.0,CZ01
Narození,4355,2013,2013,Středočeský kraj,CZ020,14262.0,CZ02
Narození,4355,2013,2013,Jihočeský kraj,CZ031,6397.0,CZ03
Narození,4355,2013,2013,Plzeňský kraj,CZ032,5531.0,CZ03
Narození,4355,2013,2013,Karlovarský kraj,CZ041,2840.0,CZ04
Narození,4355,2013,2013,Ústecký kraj,CZ042,8093.0,CZ04
Narození,4355,2013,2013,Liberecký kraj,CZ051,4550.0,CZ05
Narození,4355,2013,2013,Královéhradecký kraj,CZ052,5471.0,CZ05
Narození,4355,2013,2013,Pardubický kraj,CZ053,5097.0,CZ05
Narození,4355,2013,2013,Kraj Vysočina,CZ063,4932.0,CZ06
Narození,4355,2013,2013,Jihomoravský kraj,CZ064,12437.0,CZ06
Narození,4355,2013,2013,Olomoucký kraj,CZ071,6338.0,CZ07
Narození,4355,2013,2013,Zlínský kraj,CZ072,5605.0,CZ07
Narození,4355,2013,2013,Moravskoslezský kraj,CZ080,11651.0,CZ08
Narození,4355,2014,2014,Česko,CZ,110252.0,CZ
Narození,4355,2014,2014,Praha,CZ01,14665.0,CZ01
Narození,4355,2014,2014,Střední Čechy,CZ02,14631.0,CZ02
Narození,4355,2014,2014,Jihozápad,CZ03,12147.0,CZ03
Narození,4355,2014,2014,Severozápad,CZ04,11101.0,CZ04
Narození,4355,2014,2014,Severovýchod,CZ05,15434.0,CZ05
Narození,4355,2014,2014,Jihovýchod,CZ06,18184.0,CZ06
Narození,4355,2014,2014,Střední Morava,CZ07,12044.0,CZ07
Narození,4355,2014,2014,Moravskoslezsko,CZ08,12046.0,CZ08
Narození,4355,2014,2014,Hlavní město Praha,CZ010,14665.0,CZ01
Narození,4355,2014,2014,Středočeský kraj,CZ020,14631.0,CZ02
Narození,4355,2014,2014,Jihočeský kraj,CZ031,6460.0,CZ03
Narození,4355,2014,2014,Plzeňský kraj,CZ032,5687.0,CZ03
Narození,4355,2014,2014,Karlovarský kraj,CZ041,2779.0,CZ04
Narození,4355,2014,2014,Ústecký kraj,CZ042,8322.0,CZ04
Narození,4355,2014,2014,Liberecký kraj,CZ051,4466.0,CZ05
Narození,4355,2014,2014,Královéhradecký kraj,CZ052,5533.0,CZ05
Narození,4355,2014,2014,Pardubický kraj,CZ053,5435.0,CZ05
Narození,4355,2014,2014,Kraj Vysočina,CZ063,5345.0,CZ06
Narození,4355,2014,2014,Jihomoravský kraj,CZ064,12839.0,CZ06
Narození,4355,2014,2014,Olomoucký kraj,CZ071,6420.0,CZ07
Narození,4355,2014,2014,Zlínský kraj,CZ072,5624.0,CZ07
Narození,4355,2014,2014,Moravskoslezský kraj,CZ080,12046.0,CZ08
Narození,4355,2015,2015,Česko,CZ,111162.0,CZ
Narození,4355,2015,2015,Praha,CZ01,14808.0,CZ01
Narození,4355,2015,2015,Střední Čechy,CZ02,14644.0,CZ02
Narození,4355,2015,2015,Jihozápad,CZ03,12505.0,CZ03
Narození,4355,2015,2015,Severozápad,CZ04,11090.0,CZ04
Narození,4355,2015,2015,Severovýchod,CZ05,15634.0,CZ05
Narození,4355,2015,2015,Jihovýchod,CZ06,18183.0,CZ06
Narození,4355,2015,2015,Střední Morava,CZ07,12385.0,CZ07
Narození,4355,2015,2015,Moravskoslezsko,CZ08,11913.0,CZ08
Narození,4355,2015,2015,Hlavní město Praha,CZ010,14808.0,CZ01
Narození,4355,2015,2015,Středočeský kraj,CZ020,14644.0,CZ02
Narození,4355,2015,2015,Jihočeský kraj,CZ031,6627.0,CZ03
Narození,4355,2015,2015,Plzeňský kraj,CZ032,5878.0,CZ03
Narození,4355,2015,2015,Karlovarský kraj,CZ041,2738.0,CZ04
Narození,4355,2015,2015,Ústecký kraj,CZ042,8352.0,CZ04
Narození,4355,2015,2015,Liberecký kraj,CZ051,4704.0,CZ05
Narození,4355,2015,2015,Královéhradecký kraj,CZ052,5616.0,CZ05
Narození,4355,2015,2015,Pardubický kraj,CZ053,5314.0,CZ05
Narození,4355,2015,2015,Kraj Vysočina,CZ063,5366.0,CZ06
Narození,4355,2015,2015,Jihomoravský kraj,CZ064,12817.0,CZ06
Narození,4355,2015,2015,Olomoucký kraj,CZ071,6521.0,CZ07
Narození,4355,2015,2015,Zlínský kraj,CZ072,5864.0,CZ07
Narození,4355,2015,2015,Moravskoslezský kraj,CZ080,11913.0,CZ08
Narození,4355,2016,2016,Česko,CZ,113083.0,CZ
Narození,4355,2016,2016,Praha,CZ01,14984.0,CZ01
Narození,4355,2016,2016,Střední Čechy,CZ02,14808.0,CZ02
Narození,4355,2016,2016,Jihozápad,CZ03,12727.0,CZ03
Narození,4355,2016,2016,Severozápad,CZ04,11132.0,CZ04
Narození,4355,2016,2016,Severovýchod,CZ05,16170.0,CZ05
Narození,4355,2016,2016,Jihovýchod,CZ06,18561.0,CZ06
Narození,4355,2016,2016,Střední Morava,CZ07,12605.0,CZ07
